input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae
manhattan_n50_k640_d2_s2.csv,TIMEOUT,,,605.138258,,,,
manhattan_n50_k640_d2_s3.csv,TIMEOUT,,,600.149913,,,,
manhattan_n50_k640_d2_s4.csv,TIMEOUT,,,617.480178,,,,
manhattan_n50_k640_d2_s5.csv,TIMEOUT,,,601.709391,,,,
manhattan_n50_k640_d2_s6.csv,TIMEOUT,,,600.517341,,,,
manhattan_n50_k640_d2_s7.csv,TIMEOUT,,,625.774773,,,,
manhattan_n50_k640_d2_s8.csv,TIMEOUT,,,600.395592,,,,
manhattan_n50_k640_d2_s9.csv,TIMEOUT,,,600.548578,,,,
manhattan_n50_k640_d2_s10.csv,TIMEOUT,,,629.743062,,,,


manhattan_n10_k5_d2_base.csv,OK,6,27,0.124619,0,v1,v2,0
manhattan_n10_k5_d2_add1.csv,OK,10,46,0.959993,0,v1,v2,0
manhattan_n10_k5_d2_add2.csv,OK,17,156,0.173949,0,v1,v2,0
manhattan_n10_k5_d2_add3.csv,OK,19,106,0.224118,0,v1,v2,0
manhattan_n10_k5_d2_add4.csv,OK,29,230,0.257253,0,v1,v2,0
manhattan_n10_k5_d2_add5.csv,OK,30,211,0.224407,0,v1,v2,0
manhattan_n10_k5_d2_add6.csv,OK,33,218,0.232073,0,v1,v2,0
manhattan_n10_k5_d2_add7.csv,OK,62,614,0.400024,0,v1,v2,0
manhattan_n10_k5_d2_add8.csv,OK,91,1622,0.587598,0,v1,v2,0
manhattan_n10_k5_d2_add9.csv,OK,117,3021,0.968592,0,v1,v2,0
manhattan_n10_k5_d2_add10.csv,OK,146,4475,1.226065,0,v1,v2,0
manhattan_n10_k5_d2_add11.csv,OK,190,11152,2.127544,0,v1,v2,0
manhattan_n10_k5_d2_add12.csv,OK,242,17059,3.373143,0,v1,v2,0
manhattan_n10_k5_d2_add13.csv,OK,265,19484,4.075468,0,v1,v2,0
manhattan_n10_k5_d2_add14.csv,OK,308,20474,5.377973,0,v1,v2,0
manhattan_n10_k5_d2_add15.csv,OK,340,25092,6.875355,0,v1,v2,0
manhattan_n10_k5_d2_add16.csv,OK,393,36054,9.661599,0,v1,v2,0
manhattan_n10_k5_d2_add17.csv,OK,424,40717,11.951635,0,v1,v2,0
manhattan_n10_k5_d2_add18.csv,OK,498,53066,17.846099,0,v1,v2,0
manhattan_n10_k5_d2_add19.csv,OK,537,59839,20.870106,0,v1,v2,0
manhattan_n10_k5_d2_add20.csv,OK,624,88753,30.469655,0,v1,v2,0
manhattan_n10_k5_d2_add21.csv,OK,655,97643,35.272453,0,v1,v2,0
manhattan_n10_k5_d2_add22.csv,OK,700,109827,42.395335,0,v1,v2,0
manhattan_n10_k5_d2_add23.csv,OK,753,122397,50.530939,0,v1,v2,0
manhattan_n10_k5_d2_add24.csv,OK,781,125688,55.252444,0,v1,v2,0
manhattan_n10_k5_d2_add25.csv,OK,819,135025,61.925229,0,v1,v2,0
manhattan_n10_k5_d2_add26.csv,OK,869,148511,74.560994,0,v1,v2,0
manhattan_n10_k5_d2_add27.csv,OK,952,169513,90.950362,0,v1,v2,0
manhattan_n10_k5_d2_add28.csv,OK,1041,199336,116.931700,0,v1,v2,0
manhattan_n10_k5_d2_add29.csv,OK,1134,222708,146.380330,0,v1,v2,0
manhattan_n10_k5_d2_add30.csv,OK,1234,248080,183.837675,0,v1,v2,0

manhattan_n10_k10_d2_base.csv,OK,14,52,0.160556,0,v1,v2,0
manhattan_n10_k10_d2_add1.csv,OK,19,62,0.991464,0,v1,v2,0
manhattan_n10_k10_d2_add2.csv,OK,22,75,0.206717,0,v1,v2,0
manhattan_n10_k10_d2_add3.csv,OK,28,163,0.252254,0,v1,v2,0
manhattan_n10_k10_d2_add4.csv,OK,38,212,0.307208,0,v1,v2,0
manhattan_n10_k10_d2_add5.csv,OK,61,440,0.398684,0,v1,v2,0
manhattan_n10_k10_d2_add6.csv,OK,75,1343,0.538392,0,v1,v2,0
manhattan_n10_k10_d2_add7.csv,OK,91,1623,0.650753,0,v1,v2,0
manhattan_n10_k10_d2_add8.csv,OK,112,1778,0.866912,0,v1,v2,0
manhattan_n10_k10_d2_add9.csv,OK,156,7321,3.731852,0,v1,v2,0
manhattan_n10_k10_d2_add10.csv,OK,206,17227,2.726870,0,v1,v2,0
manhattan_n10_k10_d2_add11.csv,OK,242,19697,3.711439,0,v1,v2,0
manhattan_n10_k10_d2_add12.csv,OK,277,21687,4.524648,0,v1,v2,0
manhattan_n10_k10_d2_add13.csv,OK,335,40218,7.342153,0,v1,v2,0
manhattan_n10_k10_d2_add14.csv,OK,370,48930,9.499490,0,v1,v2,0
manhattan_n10_k10_d2_add15.csv,OK,418,59798,12.623545,0,v1,v2,0
manhattan_n10_k10_d2_add16.csv,OK,499,82671,20.074094,0,v1,v2,0
manhattan_n10_k10_d2_add17.csv,OK,526,90060,23.064398,0,v1,v2,0
manhattan_n10_k10_d2_add18.csv,OK,543,91011,24.812098,0,v1,v2,0
manhattan_n10_k10_d2_add19.csv,OK,609,104587,31.996960,0,v1,v2,0
manhattan_n10_k10_d2_add20.csv,OK,642,108760,36.493369,0,v1,v2,0
manhattan_n10_k10_d2_add21.csv,OK,690,124613,43.503357,0,v1,v2,0
manhattan_n10_k10_d2_add22.csv,OK,753,147378,54.796361,0,v1,v2,0
manhattan_n10_k10_d2_add23.csv,OK,771,149161,57.618715,0,v1,v2,0
manhattan_n10_k10_d2_add24.csv,OK,816,156278,65.476432,0,v1,v2,0
manhattan_n10_k10_d2_add25.csv,OK,880,172123,80.821197,0,v1,v2,0
manhattan_n10_k10_d2_add26.csv,OK,908,174810,85.328182,0,v1,v2,0
manhattan_n10_k10_d2_add27.csv,OK,949,199925,96.713051,0,v1,v2,0
manhattan_n10_k10_d2_add28.csv,OK,969,202435,101.873400,0,v1,v2,0
manhattan_n10_k10_d2_add29.csv,OK,975,204541,108.095325,0,v1,v2,0
manhattan_n10_k10_d2_add30.csv,OK,1008,210209,117.089718,0,v1,v2,0

